Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care
2015-01-01,1506,494,1215,8083,1572
2015-02-01,2164,1205,2037,8755,1561
2015-03-01,2578,800,2425,10473,2264
2015-04-01,2143,1145,1957,12235,1926
2015-05-01,2466,1667,1907,12347,1834
2015-06-01,2297,1217,1829,12756,2638
2015-07-01,2392,1089,2183,13403,1908
2015-08-01,1868,1041,1455,12157,2629
2015-09-01,2186,1056,1622,10363,1256
2015-10-01,1941,1005,1628,9694,2103
2015-11-01,1295,876,1209,8350,1038
2015-12-01,1438,653,1256,8089,1691
2016-01-01,2132,1459,1796,8853,1529
2016-02-01,1524,1009,1103,8765,1922
2016-03-01,1675,633,1430,10184,1297
2016-04-01,2405,788,2278,12090,2120
2016-05-01,3195,1087,2348,12854,2788
2016-06-01,2426,745,2012,13928,2399
2016-07-01,2835,957,2606,13056,2388
2016-08-01,2705,1550,2394,11964,2268
2016-09-01,2124,697,1856,12228,2023
2016-10-01,2274,972,1991,10207,1865
2016-11-01,1776,1132,1402,9513,1697
2016-12-01,1813,560,1402,8507,1787
2017-01-01,1996,1249,1801,9357,1165
2017-02-01,2172,896,1960,10674,1580
2017-03-01,1807,627,1656,11368,2444
2017-04-01,3142,1818,2916,13456,2812
2017-05-01,2541,1401,2103,13958,2310
2017-06-01,2449,1594,2021,14522,2643
2017-07-01,2173,1290,1954,14107,2084
2017-08-01,3030,1882,2613,14493,2011
2017-09-01,2696,1112,2360,12385,2060
2017-10-01,1620,600,1456,10688,1660
2017-11-01,2170,1302,2001,10788,1924
2017-12-01,1641,1021,1287,9506,1214
2018-01-01,2280,1587,1810,10630,2311
2018-02-01,1764,820,1276,10536,2303
2018-03-01,2667,1196,2252,12177,2311
2018-04-01,2691,1643,1907,14264,2476
2018-05-01,3782,1650,3087,15524,2343
2018-06-01,2562,1722,2140,15651,3151
2018-07-01,2807,1805,2165,15247,2873
2018-08-01,2309,1088,1957,14314,1950
2018-09-01,3042,1826,2152,12550,2649
2018-10-01,2794,1681,1981,11754,2377
2018-11-01,1941,662,1757,11043,2374
2018-12-01,2493,1647,1969,11542,2222
2019-01-01,2686,1348,1965,11595,2102
2019-02-01,2370,1494,1968,11532,1866
2019-03-01,2821,1207,2517,13900,2964
2019-04-01,2590,1704,1952,14870,3072
2019-05-01,2503,1140,2141,15714,1956
2019-06-01,4019,1223,2899,16768,2056
2019-07-01,4012,2656,2860,16717,2635
2019-08-01,3376,1136,2811,15827,3182
2019-09-01,2531,1082,2113,13767,3011
2019-10-01,2377,1616,2042,12857,1736
2019-11-01,2746,1867,2420,12337,2213
2019-12-01,2971,1572,2804,12398,1959
2020-01-01,2883,1593,2390,12081,2621
2020-02-01,3013,1444,2352,13217,2699
2020-03-01,2373,990,2132,11082,2258
2020-04-01,2081,897,1597,13139,2192
2020-05-01,2610,1485,2113,15709,2536
2020-06-01,4033,2423,2902,16818,2477
2020-07-01,3403,2098,2403,16160,2030
2020-08-01,2428,1495,2283,16091,3322
2020-09-01,2365,795,2149,14769,2972
2020-10-01,2859,1423,2498,13218,2907
2020-11-01,1953,630,1566,12977,2850
2020-12-01,2221,1154,1650,13375,2347
2021-01-01,2673,1273,1975,13050,2569
2021-02-01,4138,2710,3155,18879,4049
2021-03-01,3821,1682,3199,17760,3640
2021-04-01,3531,1224,3102,20482,2964
2021-05-01,4603,1644,3981,20809,3434
2021-06-01,3605,2179,2775,20755,2758
2021-07-01,3731,2041,3502,20444,4403
2021-08-01,4119,1402,3643,18339,3312
2021-09-01,3838,1280,3218,17857,2551
2021-10-01,3942,2287,3362,16781,3140
2021-11-01,3523,1159,2835,16331,2969
2021-12-01,3085,1939,2350,14917,2324
2022-01-01,2397,1396,1891,15042,1975
2022-02-01,2999,997,2667,16059,3005
2022-03-01,3173,1059,2232,17977,3092
2022-04-01,3297,2290,2403,18905,3728
2022-05-01,4790,2154,3408,19372,3332
2022-06-01,3827,1715,2717,20218,4149
2022-07-01,4705,2941,4299,19673,3446
2022-08-01,4091,2777,3583,19199,3380
2022-09-01,3929,2728,3216,17125,3556
2022-10-01,3220,1936,2332,16080,2578
2022-11-01,3147,1417,2589,15156,2021
2022-12-01,2852,950,2333,14314,1758
2023-01-01,2637,1610,1960,15561,3042
2023-02-01,3585,1876,2898,16132,2936
2023-03-01,3085,1448,2466,17329,3299
2023-04-01,2825,1871,2412,18534,2618
2023-05-01,4062,1399,3488,18934,2530
2023-06-01,3327,1653,2366,19841,2409
2023-07-01,4787,1457,3799,19619,3042
2023-08-01,4551,2218,3897,18549,3320
2023-09-01,4273,1378,3528,17695,2817
2023-10-01,3142,1091,2872,16802,2751
2023-11-01,2531,878,2188,16703,3514
2023-12-01,3785,2118,2803,15587,2413
