Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care
2022-01-01,258,1782,274,8543,231
2022-01-02,277,1790,276,8567,252
2022-01-03,335,1809,306,8574,299
2022-01-04,325,1848,296,8598,272
2022-01-05,310,1878,284,8624,258
2022-01-06,296,1864,313,8646,291
2022-01-07,314,1879,299,8639,306
2022-01-08,289,1892,274,8664,249
2022-01-09,291,1937,253,8650,267
2022-01-10,369,1982,334,8686,298
2022-01-11,295,2000,285,8677,294
2022-01-12,343,2040,295,8710,262
2022-01-13,368,2093,317,8740,287
2022-01-14,374,2120,343,8775,308
2022-01-15,270,2128,272,8783,264
2022-01-16,307,2172,267,8815,235
2022-01-17,292,2161,313,8838,290
2022-01-18,333,2195,290,8801,327
2022-01-19,353,2216,332,8844,289
2022-01-20,360,2220,356,8917,283
2022-01-21,364,2233,361,8994,284
2022-01-22,310,2228,313,9037,270
2022-01-23,306,2266,276,9079,234
2022-01-24,376,2284,350,9125,304
2022-01-25,370,2325,323,9167,281
2022-01-26,339,2338,328,9184,311
2022-01-27,350,2367,319,9156,347
2022-01-28,367,2375,366,9213,309
2022-01-29,321,2401,295,9242,266
2022-01-30,340,2459,280,9257,265
2022-01-31,426,2521,370,9282,345
2022-02-01,361,2532,359,9302,339
2022-02-02,398,2547,378,9402,278
2022-02-03,382,2561,368,9455,315
2022-02-04,384,2582,364,9474,345
2022-02-05,305,2580,315,9525,264
2022-02-06,350,2621,314,9558,281
2022-02-07,341,2648,319,9558,319
2022-02-08,422,2707,369,9592,335
2022-02-09,391,2708,386,9632,346
2022-02-10,407,2759,366,9705,293
2022-02-11,454,2801,404,9779,330
2022-02-12,337,2757,378,9894,263
2022-02-13,355,2775,329,9961,262
2022-02-14,466,2846,387,10030,318
2022-02-15,426,2880,400,10091,339
2022-02-16,414,2907,392,10140,343
2022-02-17,418,2920,408,10196,352
2022-02-18,394,2907,398,10279,315
2022-02-19,308,2880,335,10323,291
2022-02-20,378,2927,327,10362,288
2022-02-21,470,2991,403,10410,355
2022-02-22,455,3020,433,10470,373
2022-02-23,471,3044,439,10559,350
2022-02-24,497,3086,450,10674,335
2022-02-25,472,3075,478,10826,326
2022-02-26,336,3013,396,10897,325
2022-02-27,371,3056,335,10906,326
2022-02-28,450,3117,385,10940,351
2022-03-01,531,3189,459,11044,355
2022-03-02,501,3203,493,11145,392
2022-03-03,458,3190,466,11229,382
2022-03-04,484,3218,453,11344,338
2022-03-05,439,3234,414,11461,297
